row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
1861,797.0,0.36637390213299875,0.2559598494353827,0.16938519447929737,0.20828105395232122,0.3,0.38,0.16,0.16,0.4,0.18,0.2,0.22
1862,474.0,0.20464135021097046,0.14978902953586498,0.3649789029535865,0.2805907172995781,0.22,0.14,0.36,0.28,0.08,0.26,0.38,0.28
1863,295.0,0.26440677966101694,0.3254237288135593,0.22033898305084745,0.18983050847457628,0.28,0.28,0.2,0.24,0.26,0.32,0.24,0.18
1864,594.0,0.2609427609427609,0.22053872053872053,0.26262626262626265,0.2558922558922559,0.28,0.22,0.12,0.38,0.4,0.24,0.14,0.22
1865,153.0,0.20261437908496732,0.2222222222222222,0.28104575163398693,0.29411764705882354,0.2,0.22,0.26,0.32,0.06,0.2,0.4,0.34
1866,295.0,0.2542372881355932,0.3288135593220339,0.19661016949152543,0.22033898305084745,0.42,0.16,0.2,0.22,0.2,0.4,0.2,0.2
1867,104.0,0.19230769230769232,0.375,0.19230769230769232,0.2403846153846154,0.14,0.44,0.14,0.28,0.22,0.34,0.26,0.18
1868,100.0,0.19,0.17,0.31,0.33,0.18,0.14,0.38,0.3,0.2,0.2,0.24,0.36
1869,295.0,0.2576271186440678,0.3288135593220339,0.21694915254237288,0.19661016949152543,0.2,0.34,0.26,0.2,0.24,0.4,0.22,0.14
1870,513.0,0.36257309941520466,0.2300194931773879,0.19298245614035087,0.21442495126705652,0.32,0.24,0.12,0.32,0.44,0.12,0.16,0.28
1871,107.0,0.308411214953271,0.308411214953271,0.14953271028037382,0.2336448598130841,0.4,0.26,0.12,0.22,0.22,0.34,0.18,0.26
1872,317.0,0.35962145110410093,0.1829652996845426,0.19873817034700317,0.2586750788643533,0.34,0.22,0.22,0.22,0.34,0.2,0.16,0.3
1873,295.0,0.288135593220339,0.28135593220338984,0.19322033898305085,0.23728813559322035,0.32,0.16,0.32,0.2,0.16,0.44,0.12,0.28
1874,242.0,0.23553719008264462,0.17768595041322313,0.30578512396694213,0.2809917355371901,0.18,0.18,0.36,0.28,0.32,0.24,0.28,0.16
1875,532.0,0.2669172932330827,0.3026315789473684,0.18045112781954886,0.25,0.16,0.32,0.24,0.28,0.18,0.32,0.3,0.2
1876,134.0,0.2537313432835821,0.2462686567164179,0.23880597014925373,0.26119402985074625,0.22,0.24,0.34,0.2,0.34,0.24,0.18,0.24
1877,776.0,0.33762886597938147,0.28865979381443296,0.14432989690721648,0.22938144329896906,0.26,0.42,0.16,0.16,0.42,0.2,0.04,0.34
1878,80.0,0.2875,0.1875,0.2125,0.3125,0.32,0.22,0.14,0.32,0.26,0.16,0.3,0.28
